도로명전체주소,사업장명,위도,경도
"경기도 의정부시 체육로 298-13, 1층 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 체육로 306-28, 106호 (녹양동, 굿모닝프라자)",녹양약국,37.75989796,127.0413487
"경기도 의정부시 의정로 102, 1층 (가능동)",밝은미소약국,37.74182201,127.0349986
"경기도 의정부시 체육로 298-13, 1층 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
경기도 의정부시 행복로 40 (의정부동),메디칼약국,37.74197518,127.050409
경기도 의정부시 동일로 640 (금오동),터미널약국,37.74521216,127.0550777
"경기도 의정부시 오목로 229, 1층 (민락동)",메디칼수약국,37.74662647,127.0998267
"경기도 의정부시 체육로 306-24, 105호 (녹양동, 성해프라자)",대성약국,37.76012374,127.0413649
"경기도 의정부시 오목로 229, 1층 (민락동, 성진메디칼프라자)",메디칼수약국,37.74662647,127.0998267
"경기도 의정부시 호국로 1319, 1층 105호 (의정부동, 남평프라자)",성민약국,37.74394383,127.0507646
경기도 의정부시 신촌로 7 (가능동),다나약국,37.75045455,127.0352965
경기도 의정부시 태평로 222 (의정부동),가능약국,37.75044049,127.0450955
"경기도 의정부시 의정로 102, 1층 (가능동)",메디팜 힘찬약국,37.74182201,127.0349986
경기도 의정부시 흥선로 137 (의정부동),정문약국,37.7417065,127.0424438
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 행복로 27, 1층 (의정부동)",중앙로엔젤팜약국,37.74117754,127.0493867
경기도 의정부시 태평로 110 (의정부동),헬스팜약국,37.74235899,127.0518616
"경기도 의정부시 오목로 227, 103호 (민락동, 예스프라자센텀)",샛별약국,37.74637786,127.0997597
경기도 의정부시 체육로 278 (녹양동),허브팜녹양약국,37.760688,127.0390444
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
경기도 의정부시 흥선로 137 (의정부동),큰길약국,37.7417065,127.0424438
"경기도 의정부시 청사로 38, 2층 (금오동)",플러스약국,37.75216372,127.0710013
경기도 의정부시 용현로105번길 7-16 (민락동),플러스약국,37.74177714,127.0870509
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",종로약국,37.73078738,127.0571381
"경기도 의정부시 신흥로 81, 지하2층 5호 (호원동, 쌍용스윗닷홈)",세계로약국,37.72345494,127.043348
"경기도 의정부시 오목로 227, 103호 (민락동, 예스프라자센텀)",정연약국,37.74637786,127.0997597
"경기도 의정부시 회룡로 188, 109호 (장암동, 장암골드프라자)",봄약국,37.72636771,127.0545877
"경기도 의정부시 신흥로 81, 지하2층 (호원동, 쌍용스윗닷홈 상가동)",세계로약국,37.72345494,127.043348
"경기도 의정부시 호국로 1319, 105호 (의정부동)",한서약국,37.74394383,127.0507646
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 금오로 121-9, 1층 (금오동)",성모대학온누리약국,37.75779615,127.0783406
"경기도 의정부시 신흥로 282, 1층 (의정부동)",연수온누리약국,37.74123227,127.0432998
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",종로약국,37.73078738,127.0571381
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 호국로1310번길 46, 1층 (의정부동)",송약국,37.74152616,127.0495112
"경기도 의정부시 추동로1번길 56, 1층 (신곡동)",사람사는경희한약국,37.74462932,127.0571785
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",수약국,37.73078738,127.0571381
"경기도 의정부시 체육로 298-13, 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 의정로 191, 1층 (가능동)",늘푸른약국,37.74992286,127.0341729
"경기도 의정부시 용민로 1, 1층 (용현동)",용현비타민약국,37.73425053,127.0793901
"경기도 의정부시 태평로 72, 1층 (의정부동)",판도라시장약국,37.73894636,127.0519387
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
"경기도 의정부시 체육로 306-28, 106호 (녹양동)",녹양약국,37.75989796,127.0413487
"경기도 의정부시 신촌로 7, 1층 (가능동)",다나약국,37.75045455,127.0352965
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
"경기도 의정부시 체육로 306-24, 1층 (녹양동)",대성약국,37.76012374,127.0413649
"경기도 의정부시 금신로 368, 105호 (금오동, 거성빌딩)",유명약국,37.7479817,127.0585336
"경기도 의정부시 평화로 228, 108호 (호원동)",이화사랑약국,37.71220359,127.047778
"경기도 의정부시 오목로 215, 102호 (민락동, 송림프라자)",송림약국,37.74550461,127.0990557
"경기도 의정부시 평화로 660, 1층 (가능동)",한마음약국,37.75088469,127.0448
"경기도 의정부시 평화로 660, 1층 (가능동)",한마음약국,37.75088469,127.0448
"경기도 의정부시 태평로 72, 1층 (의정부동)",판도라 시장약국,37.73894636,127.0519387
"경기도 의정부시 장곡로 224 (장암동, 롯데마트 장암점)",소나무약국,37.72370423,127.0530594
"경기도 의정부시 의정로 44, 1층 (의정부동)",해맑은약국,37.73667018,127.0352977
"경기도 의정부시 충의로 62, 2층 (용현동)",행복한2층약국,37.73749228,127.0874518
"경기도 의정부시 호국로1310번길 7, 1층 (의정부동)",경희진한약국,37.74321981,127.0497074
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 금오로 9, 1층 (금오동)",새경희약국,37.75331654,127.0667786
"경기도 의정부시 신촌로 7, 1층 (가능동)",다나약국,37.75045455,127.0352965
"경기도 의정부시 충의로 62, 2층 (용현동)",행복한2층약국,37.73749228,127.0874518
"경기도 의정부시 평화로 635, 1층 (의정부동)",으뜸약국,37.74865738,127.0448591
"경기도 의정부시 청사로 38, 2층 (금오동, 홈플러스)",플러스약국,37.75216372,127.0710013
경기도 의정부시  청사로48번길  7 (금오동),정연약국,37.75291958,127.070482
"경기도 의정부시 평화로 381, 107,108호 (호원동)",준원프라자약국,37.72596851,127.0478977
"경기도 의정부시 체육로 306-24, 105호 (녹양동)",대성약국,37.76012374,127.0413649
경기도 의정부시 가능로 97 (가능동),평안약국,37.74697442,127.042048
"경기도 의정부시 신촌로 7, 1층 (가능동)",해뜨는약국,37.75045455,127.0352965
경기도 의정부시 신촌로 65 (가능동),진영엠약국,37.75055893,127.0417613
"경기도 의정부시 신흥로 141-1, 1층 (호원동)",우리들약국,37.72880537,127.0433184
경기도 의정부시 평화로 152 (호원동),김약국,37.70539055,127.0483474
"경기도 의정부시 동일로 640, 1층 (금오동)",터미널약국,37.74521216,127.0550777
"경기도 의정부시 동일로472번길 29, 1층 (신곡동)",조은약국,37.73109392,127.0603383
"경기도 의정부시 태평로 78, 1층 (의정부동)",밝은약국,37.7395976,127.0518835
경기도 의정부시 행복로 40 (의정부동),메디칼약국,37.74197518,127.050409
"경기도 의정부시 태평로 8, 1층 (의정부동)",정온누리약국,37.73385181,127.0488091
"경기도 의정부시 신흥로 146-1, 1층 (호원동)",우리들약국,37.72916021,127.0439354
"경기도 의정부시 평화로 525, 1층 (의정부동)",분스의정부역사약국,37.73799015,127.0458795
"경기도 의정부시 신흥로 146-1, 102호 (호원동)",우리들약국,37.72916021,127.0439354
경기도 의정부시 평화로 525 (의정부동),분스의정부역사약국,37.73799015,127.0458795
"경기도 의정부시 범골로 128, 1층 (의정부동)",금화약국,37.73553403,127.0396452
"경기도 의정부시 장곡로 224, 2층 (장암동, 롯데마트)",소나무약국,37.72370423,127.0530594
경기도 의정부시 태평로 66 (의정부동),제일팜약국,37.73841843,127.052065
"경기도 의정부시 시민로 237, 1층 (신곡동)",햇님약국,37.73602634,127.0610928
"경기도 의정부시 동일로 456, 109호 (신곡동)",영진약국,37.72899451,127.0597508
"경기도 의정부시 녹양로 77, 1,2층 (녹양동)",아이사랑약국,37.75776485,127.0339747
"경기도 의정부시 신촌로29번길 24, 1층 (가능동)",자연약국,37.75144713,127.0379722
"경기도 의정부시 청사로 38, 2층 (금오동)",플러스약국,37.75216372,127.0710013
"경기도 의정부시 평화로 359, 122,132호 (호원동)",솔약국,37.72400473,127.047943
"경기도 의정부시 시민로 117, 1층 (의정부동, 나이키빌딩)",드림약국,37.73871749,127.0483904
"경기도 의정부시 상금로 33, 107호 (금오동, 이롬프라자)",햇살온누리약국,37.75778254,127.0744503
"경기도 의정부시 호동로 70, 201호 (호원동)",호동약국,37.72763129,127.0428856
경기도 의정부시 태평로 174 (의정부동),한우리약국,37.74770626,127.0493031
경기도 의정부시 가능로 98 (의정부동),평안약국,37.74674953,127.041813
경기도 의정부시 평화로 229-1 (호원동),행복한약국,37.71241338,127.0472248
"경기도 의정부시 평화로 359, 109,110호 (호원동)",경성약국,37.72400473,127.047943
"경기도 의정부시 충의로 55, 1층 (용현동)",하늘약국,37.73676223,127.087199
"경기도 의정부시 평화로 228, 108호 (호원동)",이화사랑약국,37.71220359,127.047778
"경기도 의정부시 평화로 359, 122.132호 (호원동)",솔약국,37.72400473,127.047943
"경기도 의정부시 체육로 298-13, 106호 (녹양동)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 충의로 52, 102호 (용현동, 수연빌딩)",정다운약국,37.73663743,127.0878229
경기도 의정부시 평화로 447 (의정부동),한서열린약국,37.73191145,127.0477864
"경기도 의정부시 체육로 306-24, 105호 (녹양동)",대성약국,37.76012374,127.0413649
경기도 의정부시 신흥로 264 (의정부동),경희나무한약국,37.73963851,127.0434171
"경기도 의정부시 평화로 228 (호원동,로뎀프라자108호)",원무약국,37.71220359,127.047778
"경기도 의정부시 금신로 390 (금오동,206호)",가까운 약국,37.74897936,127.0562704
"경기도 의정부시 추동로91번길 8 (신곡동,지상1층)",아이원약국,37.74781803,127.0641731
"경기도 의정부시 청사로 37, 109호 (금오동)",신세계약국,37.75152055,127.0698812
"경기도 의정부시 충의로 62, 202-2호 (용현동)",행복한 2층 약국,37.73749228,127.0874518
"경기도 의정부시 녹양로 87 (녹양동,지상1층)",샘터약국,37.75858705,127.0340454
"경기도 의정부시 평화로 243, 1층 (호원동, NK빌딩)",미래약국,37.71358357,127.046981
"경기도 의정부시 시민로 237, 1층 (신곡동)",정약국,37.73602634,127.0610928
"경기도 의정부시 흥선로 136, 1층 (의정부동)",제일약국,37.74159612,127.0419477
"경기도 의정부시 호국로 1319, 1층 (의정부동)",동성약국,37.74394383,127.0507646
"경기도 의정부시 청사로48번길 19 (금오동,세하메디칼스타빌딩 109호)",세하약국,37.75307761,127.0709371
경기도 의정부시 의정로 191 (가능동),늘푸른약국,37.74992286,127.0341729
"경기도 의정부시 산단로76번길 116, 3층 (용현동, 롯데마트)",무지개온누리약국,37.74279157,127.0842716
"경기도 의정부시 청사로48번길 19 (금오동,세하빌딩109호)",세하약국,37.75307761,127.0709371
"경기도 의정부시 금신로 368, 105호 (금오동)",유명약국,37.7479817,127.0585336
경기도 의정부시 가능로 98 (의정부동),평안약국,37.74674953,127.041813
"경기도 의정부시 평화로 447 (의정부동,지상1층)",한서열린약국,37.73191145,127.0477864
"경기도 의정부시 부용로213번길 14, 103호 (용현동, 성지빌딩)",백세약국,37.75003609,127.0806456
"경기도 의정부시 청사로 45, 108호 (금오동, 플래티넘1차프라자)",현대약국,37.75227401,127.0696147
경기도 의정부시 태평로 95 (의정부동),시장보룡약국,37.74106172,127.0513837
"경기도 의정부시 체육로 306-32 (녹양동,키움프라자 102)",필약국,37.75967983,127.0413679
경기도 의정부시 평화로 228 (호원동),원무약국,37.71220359,127.047778
경기도 의정부시 평화로 229-1 (호원동),행복한약국,37.71241338,127.0472248
경기도 의정부시 태평로 108 (의정부동),연세약국,37.74222181,127.0517881
경기도 의정부시 발곡로 10 (신곡동),하나약국,37.73095179,127.0558622
경기도 의정부시 호동로 64 (호원동),호동약국,37.7280733,127.0426454
경기도 의정부시 청사로48번길 7 (금오동),하늘소리약국,37.75291958,127.070482
경기도 의정부시 태평로 87 (의정부동),대일약국,37.74021012,127.0513778
경기도 의정부시 청사로 41 (금오동),금오보령약국,37.75195284,127.0697264
"경기도 의정부시 충의로 62 (용현동,경은빌딩 202-2)",행복한 2층 약국,37.73749228,127.0874518
"경기도 의정부시 시민로 80, 117호 (의정부동)",센트럴약국,37.73797687,127.0440933
"경기도 의정부시 신촌로 7 (가능동,지상1층)",해뜨는약국,37.75045455,127.0352965
경기도 의정부시 행복로 55 (의정부동),초당한약국,37.74330089,127.0509855
"경기도 의정부시 청사로48번길 19 (금오동,,4호  세하메디칼스타빌딩 109호)",세하약국,37.75307761,127.0709371
경기도 의정부시 흥선로 137 (의정부동),신정문약국,37.7417065,127.0424438
경기도 의정부시 비우로 90-1 (녹양동),누가온누리약국,37.7581596,127.036834
경기도 의정부시 호국로 1174 (가능동),빛고을약국,37.74297341,127.0342122
경기도 의정부시 호국로 1174 (가능동),빛고을약국,37.74297341,127.0342122
"경기도 의정부시 평화로 252, 101호 (호원동)",새미소약국,37.71427079,127.0477596
"경기도 의정부시 금신로 368 (금오동,거성빌딩 105호)",유명약국,37.7479817,127.0585336
"경기도 의정부시 신흥로 251, 101호 (의정부동, 구성타원)",성모약국,37.73861457,127.042883
"경기도 의정부시 신흥로 251, 101호 (의정부동, 구성타원)",성모약국,37.73861457,127.042883
경기도 의정부시 태평로 87 (의정부동),대일약국,37.74021012,127.0513778
"경기도 의정부시 체육로 298-13 (녹양동,현대프라자 1층 106호)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 천보로 265 (금오동,나동)",성모열린약국,37.75762106,127.0790549
경기도 의정부시 시민로131번길 64 (의정부동),보룡약국,37.74099823,127.0498343
경기도 의정부시 시민로131번길 64 (의정부동),보룡약국,37.74099823,127.0498343
경기도 의정부시 시민로131번길 64 (의정부동),보룡약국,37.74099823,127.0498343
"경기도 의정부시 시민로 80, 117호 (의정부동, 센트럴파크)",센트럴약국,37.73797687,127.0440933
"경기도 의정부시 신흥로 81, 105호 (호원동)",건강온누리약국,37.72345494,127.043348
,새정문약국,,
,코끼리약국,,
,6층엔터약국,,
경기도 의정부시 범골로 128 (의정부동),금화약국,37.73553403,127.0396452
,정다운약국,,
,백두산약국,,
,성모사랑약국,,
"경기도 의정부시 평화로 635, 105호 (의정부동)",태양약국,37.74865738,127.0448591
"경기도 의정부시 상금로 33 (금오동,이롬프라자107호)",햇살온누리약국,37.75778254,127.0744503
"경기도 의정부시 의정로 44, 1층 (의정부동)",해맑은약국,37.73667018,127.0352977
,효자약국,,
,신세계약국,,
,신세계약국,,
,신세계약국,,
,온가족큰사랑약국,,
경기도 의정부시 행복로 40 (의정부동),메디칼약국,37.74197518,127.050409
,백수약국,37.75399284,127.0713314
,빛고을약국,,
경기도 의정부시 평화로 152 (호원동),호원옵티마약국,37.70539055,127.0483474
,신가능동약국,,
,샘물약국,37.74648775,127.0347522
,햇빛약국,,
,굿모닝약국,37.74677521,127.0452376
경기도 의정부시 태평로 71 (의정부동),제중약국,37.73885794,127.0513987
경기도 의정부시 평화로440번길 30 (의정부동),이수약국,,
경기도 의정부시 평화로 660 (가능동),한마음약국,37.75088469,127.0448
경기도 의정부시 평화로 660 (가능동),한마음약국,37.75088469,127.0448
,정약국,,
경기도 의정부시 평화로 611-1 (의정부동),프라임종로약국,37.74655563,127.0455038
경기도 의정부시 신촌로 65 (가능동),새천년약국,37.75055893,127.0417613
경기도 의정부시 금오로 121-7 (금오동),성모태평양약국,37.75763073,127.0784679
"경기도 의정부시 의정로104번길 8, 1층 (가능동)",신약국,37.74184269,127.0351643
,유온누리약국,37.74036267,127.0925376
"경기도 의정부시 녹양로 79, 1층 (녹양동)",은혜약국,37.75794286,127.0340363
,주연약국,,
"경기도 의정부시 녹양로 61, 1층 (녹양동)",현대약국,37.75687672,127.0328701
,신원약국,,
"경기도 의정부시 용현로159번길 6, 1층 (민락동)",진미약국,37.74087413,127.0939312
경기도 의정부시 시민로 405 (용현동),용현프라자약국,37.73433833,127.0789268
"경기도 의정부시 행복로 27, 1층 (의정부동)",중앙로 엔젤팜약국,37.74117754,127.0493867
,행복한약국,,
,금오보령약국,,
,대일약국,,
경기도 의정부시 동일로472번길 29 (신곡동),조은약국,37.73109392,127.0603383
,두루약국,,
"경기도 의정부시 시민로 202 (신곡동,지상2층)",두루약국,37.73637954,127.0572903
"경기도 의정부시 청사로5번길 26, 113,114호 (신곡동, 경남프라자)",드림피아약국,37.74881076,127.0696507
"경기도 의정부시 청사로5번길 26, 113,114호 (신곡동, 경남프라자)",드림피아약국,37.74881076,127.0696507
,늘푸른약국,,
"경기도 의정부시 태평로 110, 1층 (의정부동)",헬스팜약국,37.74235899,127.0518616
,의정부종로약국,,
"경기도 의정부시 동일로 456, 109호 (신곡동)",영진약국,37.72899451,127.0597508
"경기도 의정부시 호국로 1290, 102호 (의정부동)",연지약국,37.74332542,127.0474707
"경기도 의정부시 태평로 174 (의정부동,지상1층)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 용현로159번길 12, 106호 (민락동, 거성빌딩)",엄마손약국,37.7410518,127.0940453
"경기도 의정부시 회룡로 138, 1층 5호 (호원동)",코리아약국,37.72578687,127.0492261
,새미소약국,,
,평안약국,,
,플러스약국,,
"경기도 의정부시 평화로290번길 11, 1층 (호원동)",한주약국,37.71950175,127.0477546
,신곡프라자 약국,,
"경기도 의정부시 금오로 121-9, 1층 (금오동)",성모대학약국,37.75779615,127.0783406
,온누리누가약국,,
"경기도 의정부시 신흥로 171, 1층 (의정부동, 소아빌딩)",미소약국,37.73138926,127.0433337
"경기도 의정부시 금오로 9, 1층 (금오동)",새경희약국,37.75331654,127.0667786
,유명약국,,
"경기도 의정부시 호국로1310번길 46, 1층 (의정부동)",송약국,37.74152616,127.0495112
,정문프라자약국,,
경기도 의정부시 흥선로 137 (의정부동),큰길약국,37.7417065,127.0424438
,백세약국,,
,새서울약국,37.71358357,127.046981
"경기도 의정부시 효자로 10, 105호 (민락동, 송산중앙프라자)",푸른약국,37.74346903,127.0861223
,자매약국,,
경기도 의정부시 금신로 318 (신곡동),신중앙약국,37.74496689,127.0625429
,위드팜한솔약국,37.75809177,127.0791218
경기도 의정부시 평화로 385 (호원동),순수약국,37.7262988,127.0479202
경기도 의정부시 금오로 121-8 (금오동),성바오로약국,37.75784666,127.0787877
"경기도 의정부시 평화로 624, 1층 (의정부동)",명성약국,37.74758933,127.0456838
,덕영약국,,
경기도 의정부시 회룡로 188 (장암동),장암메디칼 약국,37.72636771,127.0545877
,메디팜 부광약국,,
,경성약국,,
,장약국,,
"경기도 의정부시 행복로 9, 1층 (의정부동)",정아약국,37.73971005,127.0482601
경기도 의정부시 태평로 13 (의정부동),부일약국,37.73446737,127.0487666
경기도 의정부시 행복로 26-1 (의정부동),경기약국,37.74090724,127.0496109
,광혜약국,37.73253096,127.0850479
경기도 의정부시 행복로 26 (의정부동),바다약국,37.7408162,127.0495006
경기도 의정부시 시민로131번길 60 (의정부동),도미당약국,37.74083192,127.0498207
,성모약국,,
,성모약국,,
경기도 의정부시 신흥로119번길 78-1 (호원동),장미약국,37.72742332,127.0390638
,또나약국,,
,중앙약국,,
,우성약국,,
,종근당약국,,
경기도 의정부시 평화로 239 (호원동),용일약국,37.71324799,127.0471214
,포천약국,,